Are_Donations_Deductable,City,EIN,Fiscal_Year_End,In_Care_Of,Is_Org_Private,Latest_Report,Org_Name,Ruling_Date,State,Street_Address,Subsection,Total_Assets,Total_Revenues,ZIP
Yes,New York,010263908,12,None Shown,Yes,201212,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,194707,New York,136 West 22nd Street,501(c)(3),16638403.0,2966673.0,10011
Yes,New York,010502652,12,% C/O ABACUS & ASSOCIATES INC,No,201312,STONINGTON QUARRY MUSEUM INC,199603,New York,147 E 48th St,501(c)(3),0.0,0.0,10017
Yes,New York,010556730,12,% EVELYN J RICH,No,201312,LABOR ARTS INC,200211,New York,17 W 17th St Fl 9,501(c)(3),13336.0,35905.0,10011
Yes,New York,010560276,10,% WILLIAM KING,No,201210,ENGINE 6 MEMORIAL FUND INC,200304,New York,49 Beekman St,501(c)(3),166480.0,428.0,10038
Yes,New York,010560590,01,% YSL & ASSOCIATES,No,201301,INNER ASIAN CONSERVATION INC,200204,New York,C/o Ysl And Associates 11 Broadway,501(c)(3),51354.0,0.0,10004
Yes,New York,010563715,12,% LEONARD NATHANSON,No,201312,JOSEPH CINER FOUNDATIN INC,200202,New York,875 Third Ave,501(c)(3),263226.0,0.0,10022
Yes,New York,010567099,10,% SUKENIK SEGAL AND GRAFF P C,No,201210,CHARLES AND VIVIAN SUKENIK PHILANTHROPIC FUND INC,200203,New York,7 W 96th St,501(c)(3),164465.0,0.0,10025
Yes,New York,010569203,06,None Shown,No,200906,MUSEUM OF AFRICAN AMERICAN CINEMA INC,201406,New York,163 W 125th St Ste 903,501(c)(3),1559369.0,32550.0,10027
Yes,New York,010572936,12,% R YOUNG,No,201112,ARGO THEATER COMPANY,200205,New York,248 Mott St Apt 10,501(c)(3),1.0,0.0,10012
No,New York,010576252,12,% MR ROBERT LIGUORI,No,201312,LABORERS INTERNATIONAL UNION OF NORTH AMERICA,196802,New York,121 E 24th St,501(c)(5),30607.0,15278.0,10010
Yes,New York,010576704,06,% OFFICE OF THE PUBLIC ADVOCATE OF,Yes,201306,THE FUND FOR PUBLIC ADVOCACY INC,200210,New York,15th Floor,501(c)(3),295717.0,593472.0,10007
Yes,New York,010576946,08,None Shown,Yes,201308,BREATHING PROJECT INC,201101,New York,15 W 26th St 10th Flr,501(c)(3),42903.0,229786.0,10010
Yes,New York,010578709,12,% DANA WILLIS,Yes,201212,WOMENS ENEWS INC,200410,New York,6 Barclay St Fl 6,501(c)(3),341806.0,863371.0,10007
Yes,New York,010580252,12,% HUMAN SERVICES COUNCIL OF NYC,No,201312,9-11 UNITED SERVICES GROUP INC,200202,New York,130 East 59th Street,501(c)(3),0.0,0.0,10022
Yes,New York,010580707,12,% MORGAN STANLEY TRUST FSB,No,201312,PAUL J LOMBARDI CHARITABLE TR,200206,New York,1 New York Plaza 7th Fl,501(c)(3),435564.0,0.0,10004
Yes,New York,010583271,06,% REBECCA RADILLO,No,201206,INSTITUTO LATINO DE CUIDADO PASTORAL,200311,New York,3 West 29th Street,501(c)(3),27187.0,2500.0,10001
No,New York,010585693,06,% NICOLAS SCARANO,Yes,201406,THE METROPOLITIAN RAILWAY CLUB OF NEW YORK,200305,New York,400 W 31st St,501(c)(7),198691.0,98895.0,10001
Yes,New York,010588883,12,% DANIELLE GALLO,No,201312,AMERICAN WOMENS YACHT RACING INC,200212,New York,185 W End Ave Apt 20p,501(c)(3),91016.0,604.0,10023
Yes,New York,010595671,12,% IRENE SWIDLER,No,201312,RESOURCE NY INC,200410,New York,300 E 51st St Apt 8c,501(c)(3),8093.0,23034.0,10022
Yes,New York,010595925,06,None Shown,No,201406,ROBERT H CLAMPITT FOUNDATION,200205,New York,75 Broad Street Suite 304,501(c)(3),0.0,0.0,10004
Yes,New York,010598889,12,% RICHARD H SCHIMEL,No,201312,A LITTLE HOPE INC,200206,New York,1 Penn Plz Rm 3000,501(c)(3),399521.0,22069.0,10119
Yes,New York,010599150,12,% INES BONICELLI,Yes,201212,REACHING U A FOUNDATION FOR URUGUAY,200306,New York,Po Box 3251,501(c)(3),581774.0,622414.0,10163
Yes,New York,010601798,12,% MIRABILE,Yes,201312,US GREEN BUILDING COUNCIL NEW YORK CHAPTER,200301,New York,20 Broad St Ste 709,501(c)(3),701116.0,1713119.0,10005
Yes,New York,010603628,06,% MARILYN SIMONS,Yes,201306,LEARNINGSPRING SCHOOL,200207,New York,247 E 20th St,501(c)(3),48490646.0,49192691.0,10003
Yes,New York,010605973,12,% LESLIE SEARCY PASTOR,No,0,JOURNEY NYC,200401,New York,321 W 44th St 2nd Fl Ste 203a,501(c)(3),0.0,0.0,10036
Yes,New York,010621206,06,% STEPHANIE CHASE,No,201306,MUSIC OF THE SPHERES SOCIETY INC,200212,New York,46 Riverside Dr Apt 2n,501(c)(3),1386.0,10217.0,10024
Yes,New York,010623055,12,% MARKS PANETH & SHRON LLP,No,201312,PINDAROS FOUNDATION INC,200207,New York,685 3rd,501(c)(3),16642309.0,0.0,10017
Yes,New York,010627379,12,% ROGERS & CO CPAS PC,No,201312,ZANGDOKPALRI FOUNDATION INC,200307,New York,130 7th Ave,501(c)(3),0.0,0.0,10011
Yes,New York,010635574,06,% BARBARA ROMER,No,201306,GLOBE THEATRE INC,200311,New York,306 W 4th St Apt C3,501(c)(3),0.0,0.0,10014
Yes,New York,010659601,04,% LISA ROSEN,Yes,201304,A T EASE FOUNDATION INC,200205,New York,217 Thompson St Ste 404,501(c)(3),17732.0,76239.0,10012
Yes,New York,010661112,12,% PETER LAU,No,201312,WYCA EASTERN US INC,200303,New York,25 Bowery,501(c)(3),67735.0,8180.0,10002
Yes,New York,010662717,04,% GERARD PETITTE,No,201404,STEVE JACOBSON MEMORIAL AMATEUR RADIO ASSOCIATION INC,200208,New York,572 Grand St Apt G1203,501(c)(3),0.0,0.0,10002
Yes,New York,010668318,12,% VOORHEES,Yes,201312,INTERNATIONAL KEYBOARD INSTITUTE AND FESTIVAL,200207,New York,320 Riverside Dr,501(c)(3),19012.0,204623.0,10025
Yes,New York,010671151,12,% PIERRE MERLE,Yes,201312,AMERICAN FRIENDS OF LUCERNE FESTIVAL INC,200205,New York,90 Broad St Ste 2201,501(c)(3),168022.0,161102.0,10004
Yes,New York,010671851,12,% JERRY DUMINGUEZ,Yes,201312,CASA MEXICO INC,200207,New York,2710 Broadway 3rd Floor,501(c)(3),6266.0,61003.0,10025
Yes,New York,010675129,09,% FUND FOR THE CITY OF NEW YORK,No,201309,INTERNATIONAL INSTITUTE FOR COMMUNITY SOLUTIONS INC,200605,New York,121 Sixth Avenue,501(c)(3),0.0,0.0,10013
Yes,New York,010677640,12,% JACK FISHMAN,No,201312,CENTER FOR CANCER PREVENTION RESEARCH INC,200301,New York,146 Central Park W Apt 6d,501(c)(3),1751.0,0.0,10023
Yes,New York,010682614,06,None Shown,Yes,201106,ORDWAY RESEARCH INSTITUTE INC,200208,New York,425 Park Ave Ste 502,501(c)(3),11680642.0,7676660.0,10022
Yes,New York,010683413,12,% TARRUS RICHARDSON,No,201312,THE COUNCIL OF URBAN PROFESSIONALS INSTITUTE,200305,New York,55 Exchange Place,501(c)(3),402638.0,944590.0,10005
Yes,New York,010684347,12,% CUNY,Yes,201212,IN ARMS REACH INC,200302,New York,160 Convent Ave,501(c)(3),44626.0,124267.0,10031
No,New York,010685103,12,None Shown,No,201312,NATIONAL ASSOCIATION OF PEDIATRIC NURSE PRACTIONERS,198002,New York,5 Hanover Sq Rm 1401,501(c)(6),0.0,0.0,10004
